LEA,school,year,r_1100,r_1110,r_1111,r_1112,r_1113,r_1114,r_1115,r_1118,r_1124,r_1125,r_1128,r_1129,r_1134,r_1135,r_1136,r_1140,r_1154,r_1160,r_1162,r_1164,r_1174,r_1178,r_1184,r_1190,r_1199,r_1200,r_1300,r_1310,r_1320,r_1330,r_1340,r_1400,r_1410,r_1420,r_1440,r_1500,r_1510,r_1515,r_1540,r_1610,r_1620,r_1690,r_1700,r_1710,r_1720,r_1730,r_1740,r_1741,r_1742,r_1743,r_1744,r_1745,r_1746,r_1747,r_1748,r_1750,r_1760,r_1770,r_1780,r_1790,r_1800,r_1900,r_1910,r_1920,r_1930,r_1940,r_1950,r_1960,r_1965,r_1970,r_1980,r_1990,r_2000,r_3000,r_3005,r_3010,r_3013,r_3015,r_3020,r_3025,r_3100,r_3105,r_3110,r_3115,r_3120,r_3125,r_3128,r_3130,r_3155,r_3160,r_3200,r_3209,r_3210,r_3211,r_3212,r_3213,r_3215,r_3218,r_3220,r_3221,r_3230,r_3270,r_3300,r_3322,r_3336,r_3400,r_3405,r_3410,r_3415,r_3423,r_3435,r_3448,r_3467,r_3468,r_3470,r_3471,r_3477,r_3480,r_3500,r_3515,r_3520,r_3522,r_3555,r_3560,r_3600,r_3610,r_3612,r_3613,r_3635,r_3636,r_3637,r_3641,r_3646,r_3650,r_3655,r_3661,r_3687,r_3700,r_3701,r_3703,r_3704,r_3706,r_3708,r_3709,r_3710,r_3713,r_3714,r_3716,r_3717,r_3718,r_3719,r_3720,r_3721,r_3725,r_3760,r_3762,r_3764,r_3769,r_3770,r_3772,r_3774,r_3776,r_3780,r_3785,r_3795,r_3799,r_3800,r_3805,r_3807,r_3808,r_3810,r_3816,r_3851,r_3861,r_3862,r_3865,r_3866,r_3867,r_3868,r_3876,r_3878,r_3881,r_3882,r_3900,r_3990,r_5000,r_5100,r_5110,r_5120,r_5130,r_5140,r_5200,r_5210,r_5300,r_5400,r_5500,r_5600,r_5900,r_6100,r_6200,r_6300,r_6400
Davis District,Legacy Jr High,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,12219.62,,,,,,,,,8260.0,,,5218.8,1693.85,,,,36376.83,17456.06,223262.77000000002,,,,,,,,,,,,,,,,3272.26,8685.18,,,,,,,,55178.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Legacy Jr High,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5185.5,,,,,,,,,14296.0,,,3993.84,894.85,5.0,,,23859.58,12310.75,165888.1,,,,,,,,,,,,,,,,1800.0,4396.93,,,,,,,,37897.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Legacy Jr High,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8781.0,,,,,,,,,10741.0,,,51.85,769.75,,,7345.57,24673.95,6031.0,182039.4,,,,,4530.0,,,,,,,,,,,2800.0,6803.15,,,,,,,,35119.240000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Lincoln School,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.0,,,,,,,,,2610.0,,,9143.3,2809.35,-28.8,,,1921.33,,25688.17,,,,,,,,,,,,,,,,981.78,7606.5,,,,,,,,14481.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.0,,,,,,,,,,,,,,,,,
Davis District,Lincoln School,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,,,,,,,,4200.0,,,5721.01,1482.2,20.05,,,2210.47,35.0,20658.31,,,,,,,,,,,,,,,,840.0,4500.29,,,,,,,,14887.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Lincoln School,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6369.0,,,7820.4,1521.05,,,,324.51,120.0,10978.49,,,,,,,,,,,,,,,,210.0,9024.0,,,,,,,,7646.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Lincoln School,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6702.0,,,487.4,524.4,,,,134.28,60.0,6151.72,,,,,,,,,,,,,,,,,6418.92,,,,,,,,8800.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Meadowbrook School,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,,,,,,,,,1560.0,,,3397.22,724.2,,,,1461.3,84.5,16791.47,,,,,,,,,,,,,,,,175.0,9570.0,,,,,,,,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Meadowbrook School,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.0,,,,,,,,,2220.0,,,1815.4,5298.0,-1.0,,,1416.3,104.0,17666.5,,,,,,,,,,,,,,,,,3251.5,,,,,,,,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Meadowbrook School,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3270.0,,,1231.37,1473.0,21.0,,,1404.85,,12704.71,,,,,,,,,,,,,,,,,24083.78,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Meadowbrook School,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3133.0,,,55.0,215.75,,,,585.0,,7010.31,,,,,,,,,,,,,,,,1375.0,5012.88,,,,,,,,225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Millcreek Jr High,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14751.0,,,,,,,,,3820.0,,,3950.05,1244.2,9.2,,,12533.52,1616.0,134293.03999999998,,,,,,,,,,,,,,,,175.0,46024.0,,,,,,,,43580.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.85,,,,,,,,,,,,,,,,,,968.0,,,,,,,,,,,,,,,,,
Davis District,Millcreek Jr High,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14443.69,,,,,,,,,6250.0,,,3152.5,1049.5,10.0,,,15267.05,3340.0,129674.98000000001,,,,,,,,,,,,,,,,255.0,62774.06,,,,,,,,37879.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,,,,,,,,,,,,,,,,,108.92,,,,,,,,,,,,,,,,,
Davis District,Millcreek Jr High,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14875.5,,,,,,,,,8520.0,,,1958.1,875.74,3.4,,,18056.74,3231.0,132631.21000000002,,,,,,,,,,,,,,,,180.0,26192.71,,,,,,,,31296.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.96,,,,,,,,,,,,,,,,,
Davis District,Millcreek Jr High,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13177.69,,,,,,,,,8618.0,,,55.0,149.2,,,,13654.42,2600.0,120309.61,,,,,,,,,,,,,,,,5546.25,11310.98,,,,,,,,55016.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Morgan School,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3645.0,,,,,,,,,1520.0,,,4070.57,1339.7,-1.1,,,317.6,7.0,11871.97,,,,,,,,,,,,,,,,175.0,27950.510000000002,,,,,,,,44224.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1499.5,,,,,,,,,,,,,,,,,,188.0,,,,,,,,,,,,,,,,,
Davis District,Morgan School,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.0,,,,,,,,,3010.0,,,2653.65,1839.15,20.0,,,672.39,,12264.05,,,,,,,,,,,,,,,,675.0,34908.59,,,,,,,,21779.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Morgan School,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5662.0,,,1929.73,1086.2,-0.05,,,385.7,,10105.0,,,,,,,,,,,,,,,,135.0,31259.5,,,,,,,,17519.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Morgan School,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5719.0,,,25.0,401.9,10.0,,,306.4,,834.0,,,,,,,,,,,,,,,,250.0,7768.0,,,,,,,,20289.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Mountain High,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400.0,,,,,,,,,2180.0,,,2053.99,9892.5,-97.5,,,3039.96,16445.78,15316.75,,,,,,,,,,,,,,,,,28800.0,,,,,,,,3510.54,,,,1380208.29,,,,,,,,,,,,,,,,,,,,,,,,,,,1915479.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Mountain High,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1419.0,,,,,,,,,3180.0,,,2214.75,7080.25,-39.5,,,3434.67,9835.0,14663.85,,,,,,,,,,,,,,,,,19309.0,,,,,,,,4351.34,,,,1035112.52,,,,,,,,,,,,,,,,,,,,,,,,,,,2367181.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Mountain High,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1809.0,,,,,,,,,5107.0,,,197.15,6399.9,-50.2,,,3504.86,3713.0,16117.31,,,,,,,,,,,,,,,,,14032.54,,,,,,,,4777.4400000000005,,,,1486814.29,,,,,,,,,,,,,,,,,,,,,,,,,,,2765018.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Mountain High,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1884.0,,,,,,,,,3954.0,,,10.55,2578.85,-23.68,,,2803.09,59.0,16483.33,,,,,,,,,,,,,,,,,55106.850000000006,,,,,,,,11123.52,,,,779800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2882284.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Mountain View School,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200.0,,,,,,,,,1700.0,,,9543.09,1941.05,362.0,,,6320.85,1090.0,14648.16,,,,,,,,,,,,,,,,902.5,5279.18,,,,,,,,21901.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Mountain View School,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,630.0,,,,,,,,,2950.0,,,7431.2,938.2,75.4,,,238.64,610.0,8923.75,,,,,,,,,,,,,,,,927.5,3961.08,,,,,,,,18847.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Mountain View School,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.0,,,,,,,,,5612.0,,,5121.15,904.45,-19.9,,,3122.82,380.0,4389.65,,,,,,,,,,,,,,,,2500.0,4223.84,,,,,,,,15082.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.74,,,,,,,,,,,,,,,,,
Davis District,Mountain View School,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5585.0,,,171.55,1496.3,31.5,,,,440.0,2902.92,,,,,,,,,,,,,,,,750.0,985.47,,,,,,,,16468.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Mueller Park Jr High,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11126.37,,,,,,,,,3410.0,,,3788.23,2490.9,,,,23366.11,1659.0,162804.85,,,,,,,,,,,,,,,,175.0,9481.85,,,,,,,,11601.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0,,,,,,,,,,,,,,,,,
Davis District,Mueller Park Jr High,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6726.5,,,,,,,,,5660.0,,,3794.03,2672.05,,,,16841.79,481.0,168916.78999999998,,,,,,,,,,,,,,,,110.0,31482.489999999998,,,,,,,,11716.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Mueller Park Jr High,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9991.8,,,,,,,,,9727.0,,,4833.57,2331.55,,,,13303.88,837.0,163467.68,,,,,,,,,,,,,,,,,64220.3,,,,,,,,11446.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Mueller Park Jr High,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5625.27,,,,,,,,,9736.0,,,22.4,1398.07,4.5,,,12155.02,1474.0,144033.92,,,,,,,,,,,,,,,,1200.0,9109.39,,,,,,,,37755.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Muir School,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350.0,,,,,,,,,1900.0,,,2464.51,4449.7,,,,,1170.0,20227.84,,,,,,,,,,,,,,,,,29572.5,,,,,,,,33035.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Muir School,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,,,,,,,,2790.0,,,1163.75,3244.6,,,,,780.0,21550.31,,,,,,,,,,,,,,,,,5738.78,,,,,,,,31833.449999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Muir School,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4958.0,,,799.75,3261.35,,,,,420.0,14861.6,,,,,,,,,,,,,,,,,10325.4,,,,,,,,19130.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.72,,,,,,,,,,,,,,,,,
Davis District,Muir School,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5232.0,,,40.55,1428.75,,,,,,4996.53,,,,,,,,,,,,,,,,,14696.29,,,,,,,,22510.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,North Davis Jr High,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2648.85,,,,,,,,,3360.0,,,16771.79,1808.75,-0.9,,,18809.18,5192.79,124388.56999999999,,,,,,,,,,,,,,,,815.0,6067.9,,,,,,,,8421.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,,,,,,,,,,,,,,,,,
Davis District,North Davis Jr High,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984.24,,,,,,,,,6300.0,,,13061.26,1355.99,1.0,,,25304.78,2772.3,145649.3,,,,,,,,,,,,,,,,1158.69,14667.08,,,,,,,,10148.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,North Davis Jr High,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992.42,,,,,,,,,11749.0,,,7630.65,828.6,0.5,,,13574.33,4902.07,117112.13,,,,,,,,,,,,,,,,685.17,8143.05,,,,,,,,9603.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,North Davis Jr High,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1820.07,,,,,,,,,8603.0,,,4473.66,1139.95,-19.8,,,18337.94,1840.65,102623.20999999999,,,,,,,,,,,,,,,,,55276.12,,,,,,,,20366.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,North Layton Jr High,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3003.76,,,,,,,,,3360.0,,,15063.61,1045.5,,,,10458.4,2931.5,166174.22999999998,,,,,,,,,,,,,,,,8110.0,13282.150000000001,,,,,,,,26319.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.0,,,,,,,,,,,,,,,,,
Davis District,North Layton Jr High,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2886.5,,,,,,,,,4100.0,,,11742.43,1254.95,-5.0,,,2604.5,2945.5,172094.49,,,,,,,,,,,,,,,,4922.5,9658.71,,,,,,,,26316.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,North Layton Jr High,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3679.18,,,,,,,,,6701.0,,,13117.56,506.5,,,,785.55,4477.71,141398.07,,,,,,,,,,,,,,,,4067.5,4868.65,,,,,,,,24263.059999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,North Layton Jr High,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2938.31,,,,,,,,,7064.0,,,141.0,337.0,,,,2663.91,4335.61,135247.15,,,,,400.0,,,,,,,,,,,5972.5,4399.51,,,,,,,,39819.630000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Northridge High,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,31075.0,,,,,,,,,10210.0,,,13254.11,1422.0,-0.47,,,54816.33,45346.05,1263715.21,,,,,,,,,,,,,,,,5273.75,225138.94,,,,,,,,232012.07,,,,112135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0,,,,,,,,,,,,,,,,,
Davis District,Northridge High,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30264.0,,,,,,,,,18330.0,,,11233.24,2227.22,-1.0,,,54342.36,21000.15,1161059.15,,,,,,,,,,,,,,,,17425.0,219524.75,,,,,,,,260666.38,,,,162513.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Northridge High,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,20515.0,,,,,,,,,30180.0,,,4899.18,965.55,,,,48797.24,5025.38,837198.38,,,,,,,,,,,,,,,,8361.55,218703.42,,,,,,,,174558.09,,,,151344.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Northridge High,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19538.27,,,,,,,,,23086.0,,,330.9,487.09,45.5,,27757.72,20112.31,6829.25,651351.48,,,,,78126.71,,,,,,,,,,,8702.51,235567.55,,,,,,,,231603.66,,,,111218.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Oak Hills School,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4633.0,,,,,,,,,770.0,,,1922.92,1298.2,0.11,,,1418.0,,3235.83,,,,,,,,,,,,,,,,175.0,9348.0,,,,,,,,31304.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Oak Hills School,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1085.0,,,,,,,,,1340.0,,,1150.06,1319.15,60.0,,,1095.0,,10978.44,,,,,,,,,,,,,,,,160.0,13936.0,,,,,,,,26304.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.0,,,,,,,,,,,,,,,,,,1192.92,,,,,,,,,,,,,,,,,
