LEA,school,year,e_1000,e_2100,e_2110,e_2120,e_2130,e_2140,e_2150,e_2160,e_2170,e_2180,e_2190,e_2200,e_2210,e_2212,e_2213,e_2219,e_2220,e_2230,e_2240,e_2290,e_2300,e_2310,e_2311,e_2312,e_2315,e_2316,e_2317,e_2319,e_2320,e_2321,e_2329,e_2400,e_2410,e_2490,e_2500,e_2510,e_2520,e_2530,e_2540,e_2560,e_2570,e_2580,e_2590,e_2600,e_2610,e_2620,e_2630,e_2640,e_2650,e_2660,e_2670,e_2680,e_2700,e_2710,e_2720,e_2730,e_2790,e_2795,e_2900,e_3100,e_3200,e_3300,e_3310,e_3350,e_3360,e_3370,e_3390,e_3395,e_4000,e_4100,e_4200,e_4300,e_4500,e_4502,e_4600,e_4700,e_4900,e_5000,e_5100,e_5200,e_5300,e_5900
Alpine District,Alpine District,2020,52292939.0,120382.0,1099295.0,547788.0,2124038.0,893570.0,108833.0,1995959.0,,,,5176.0,12416321.0,,,,630207.0,,,,,257628.0,,29100.0,,76100.0,46769.0,1409730.0,,567504.0,1508766.0,,422666.0,,,5616452.0,2031620.0,514822.0,,744590.0,2218362.0,11067503.0,,24069048.0,,,,,,,,,27043364.0,,,,,,,7974865.0,7029.0,21034156.0,9479.0,,,,,,6767868.0,2046855.0,413732.0,3019316.0,36099336.0,,,2654057.0,,,,,,76983731.0
Alpine District,Alpine District,2021,52170006.0,270107.0,1066477.0,613641.0,2140631.0,1131544.0,111266.0,1925454.0,,,,5809.0,13514308.0,,,,804259.0,,,,,249545.0,,900.0,,74150.0,122047.0,1333390.0,,556164.0,1504879.0,,1457937.0,,,3678598.0,2042977.0,392036.0,,756288.0,2075796.0,12106535.0,,25402819.0,,,,,,,,,22645841.0,,,,,,,8852943.0,4223.0,18629680.0,115835.0,,,667694.0,,,,2206651.0,396244.0,738011.0,75878130.0,,,1891697.0,,,,,,83203036.0
Alpine District,Alpine Online School,2017,715199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144753.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine District,Alpine Online School,2018,669989.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155218.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine District,Alpine Online School,2019,626159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175341.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine District,Alpine Online School,2020,573405.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine District,Alpine Online School,2021,1047377.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine District,Alpine School,2019,2615878.0,,,,348.0,,,,,,,,2544.0,,,,93425.0,,,,,,,,,,,,,,,,290584.0,,,123.0,,,,,,,,133387.0,,,,,,,,,,,,,,,,117243.0,,56356.0,,,,,,,,,,,,,,47304.0,,,,,,
Alpine District,Alpine School,2020,2484589.0,,,,128.0,,,,,,,,2028.0,,,,78111.0,,,,,,,,,,,,,,,,252400.0,,,16.0,,,,,,,,162327.0,,,,,,,,,,,,,,,,142954.0,,59852.0,,,,,,,,,,,,,,23313.0,,,,,,
Alpine District,Alpine School,2021,2615331.0,,,37427.0,198.0,,,,,,,,2865.0,,,,75066.0,,,,,,,,,,,,,,,,251618.0,,,89.0,,,,,,,,151593.0,,,,,,,,,,,,,,,,144798.0,,,,,,60343.0,,,,,,,,,,43897.0,,,,,,
Alpine District,American Fork High,2017,10434836.0,,,623562.0,,,,,,,,,28609.0,,,,176629.0,,,,,,,,,,,,,,,,967159.0,,,42089.0,,,,,,,,496338.0,,,,,,,,,,,,,,,,183633.0,,,,,,,153487.0,,,,,,,,,16786.0,,,,,,
Alpine District,American Fork High,2018,11080233.0,17487.0,,643750.0,12605.0,85306.0,,,,,,,35597.0,,,,186109.0,,,,,,,,,,,,,,,,968343.0,,,30154.0,,,,,,,,504407.0,,,,,,,,,,,,,,,,147795.0,,35683.0,,,,,,,,,7978.0,,,,,60666.0,,,,,,
Alpine District,American Fork High,2019,11316712.0,,,690648.0,13558.0,90766.0,,,,,,,30203.0,,,,193543.0,,,,,,,,,,,,,,,,1049139.0,,,33307.0,,,,,,,,582314.0,,,,,,,,,,,,,,,,206013.0,,,230748.0,,,,,,,,,402667.0,1873584.0,,,746448.0,,,,,,
Alpine District,American Fork High,2020,11373766.0,,,761531.0,15594.0,,,,,,,,33707.0,,,,198852.0,,,,,,,,,,,,,,,,1355035.0,,,52903.0,,,,,,,,633086.0,,,,,,,,,,,,,,,,221647.0,,64524.0,302558.0,,,,,,5305008.0,,10900.0,,1495526.0,,,219709.0,,,,,,
Alpine District,American Fork High,2021,11509441.0,,,768927.0,15753.0,,,,,,,,38134.0,,,,199222.0,,,,,,,,,,,,,,,,1284183.0,,,56685.0,,,,,,,,614422.0,,,,,,,,,,,,,,,,205364.0,,,407531.0,,,,,,,,25641.0,,,,,15535.0,,,,,,
Alpine District,American Fork Jr High,2019,7801571.0,,,613451.0,800.0,106309.0,,,,,,,43860.0,,,,184199.0,,,,,,,,,,,,,,,,795507.0,,,7146.0,,,,,,,,388534.0,,,,,,,,,,,,,,,,258912.0,,,39588.0,,,,,,,,84859.0,,,,,188575.0,,,,,,
Alpine District,American Fork Jr High,2020,8230082.0,,,694909.0,20.0,,,,,,,,38846.0,,,,194038.0,,,,,,,,,,,,,,,,824669.0,,,10296.0,,,,,,,,415230.0,,,,,,,,,,,,,,,,273432.0,,12982.0,42753.0,,,,,,,,30989.0,,,,,6960.0,,,,,,
Alpine District,American Fork Jr High,2021,8591638.0,,,732742.0,,,,,,,,,37044.0,,,,198187.0,,,,,,,,,,,,,,,,853231.0,,,11812.0,,,,,,,,419988.0,,,,,,,,,,,,,,,,241282.0,,,58736.0,,,,,,,,,,,,,110877.0,,,,,,
