LEA,school,year,r_10_1100,r_10_1110,r_10_1111,r_10_1112,r_10_1113,r_10_1114,r_10_1115,r_10_1134,r_10_1135,r_10_1136,r_10_1154,r_10_1160,r_10_1162,r_10_1164,r_10_1184,r_10_1190,r_10_1199,r_10_1200,r_10_1300,r_10_1310,r_10_1320,r_10_1330,r_10_1340,r_10_1400,r_10_1410,r_10_1420,r_10_1440,r_10_1500,r_10_1510,r_10_1515,r_10_1540,r_10_1610,r_10_1620,r_10_1690,r_10_1700,r_10_1710,r_10_1720,r_10_1730,r_10_1740,r_10_1741,r_10_1742,r_10_1743,r_10_1744,r_10_1745,r_10_1746,r_10_1747,r_10_1748,r_10_1750,r_10_1760,r_10_1770,r_10_1780,r_10_1790,r_10_1800,r_10_1900,r_10_1910,r_10_1920,r_10_1930,r_10_1940,r_10_1950,r_10_1960,r_10_1965,r_10_1970,r_10_1980,r_10_1990,r_10_2000,r_10_3000,r_10_3005,r_10_3010,r_10_3013,r_10_3015,r_10_3020,r_10_3025,r_10_3100,r_10_3105,r_10_3110,r_10_3115,r_10_3120,r_10_3125,r_10_3128,r_10_3130,r_10_3155,r_10_3160,r_10_3200,r_10_3209,r_10_3210,r_10_3211,r_10_3212,r_10_3213,r_10_3215,r_10_3218,r_10_3220,r_10_3221,r_10_3230,r_10_3270,r_10_3300,r_10_3322,r_10_3336,r_10_3400,r_10_3405,r_10_3410,r_10_3415,r_10_3423,r_10_3435,r_10_3448,r_10_3467,r_10_3468,r_10_3470,r_10_3471,r_10_3477,r_10_3480,r_10_3500,r_10_3515,r_10_3520,r_10_3522,r_10_3555,r_10_3560,r_10_3600,r_10_3612,r_10_3613,r_10_3635,r_10_3636,r_10_3637,r_10_3641,r_10_3646,r_10_3655,r_10_3661,r_10_3687,r_10_3700,r_10_3701,r_10_3703,r_10_3704,r_10_3706,r_10_3708,r_10_3709,r_10_3710,r_10_3713,r_10_3714,r_10_3716,r_10_3717,r_10_3718,r_10_3719,r_10_3720,r_10_3725,r_10_3760,r_10_3762,r_10_3764,r_10_3769,r_10_3770,r_10_3772,r_10_3774,r_10_3776,r_10_3780,r_10_3785,r_10_3795,r_10_3799,r_10_3800,r_10_3805,r_10_3807,r_10_3808,r_10_3810,r_10_3816,r_10_3851,r_10_3861,r_10_3862,r_10_3865,r_10_3866,r_10_3867,r_10_3868,r_10_3876,r_10_3878,r_10_3881,r_10_3882,r_10_3900,r_10_3990,r_10_5100,r_10_5110,r_10_5120,r_10_5130,r_10_5140,r_10_5200,r_10_5210,r_10_5300,r_10_5400,r_10_5500,r_10_5600,r_10_5900,r_10_6100,r_10_6200,r_10_6300,r_10_6400,r_20_1500,r_20_1510,r_20_1770,r_20_1800,r_20_1900,r_20_1910,r_20_1920,r_20_1990,r_20_3816,r_20_3990,r_20_5200,r_20_5210,r_20_5900,r_21_1310,r_21_1320,r_21_1410,r_21_1500,r_21_1510,r_21_1610,r_21_1690,r_21_1700,r_21_1710,r_21_1720,r_21_1730,r_21_1740,r_21_1741,r_21_1742,r_21_1743,r_21_1744,r_21_1745,r_21_1746,r_21_1747,r_21_1748,r_21_1750,r_21_1760,r_21_1770,r_21_1780,r_21_1790,r_21_1800,r_21_1900,r_21_1910,r_21_1920,r_21_1940,r_21_1990,r_21_3010,r_21_3520,r_21_3800,r_21_3851,r_21_3900,r_21_3990,r_21_5200,r_21_5210,r_21_5300,r_21_5900,r_21_6400,r_23_1110,r_23_1111,r_23_1112,r_23_1113,r_23_1114,r_23_1115,r_23_1164,r_23_1310,r_23_1500,r_23_1510,r_23_1690,r_23_1740,r_23_1743,r_23_1747,r_23_1790,r_23_1800,r_23_1900,r_23_1910,r_23_1920,r_23_1930,r_23_1960,r_23_1990,r_23_2000,r_23_3100,r_23_3105,r_23_3115,r_23_3125,r_23_3160,r_23_3209,r_23_3300,r_23_3613,r_23_3700,r_23_3713,r_23_3800,r_23_3876,r_23_3900,r_23_3990,r_23_5200,r_23_5210,r_23_5300,r_23_5900,r_26_1110,r_26_1111,r_26_1112,r_26_1114,r_26_1115,r_26_1118,r_26_1124,r_26_1128,r_26_1134,r_26_1140,r_26_1164,r_26_1190,r_26_1965,r_26_1990,r_31_1110,r_31_1111,r_31_1112,r_31_1113,r_31_1128,r_31_1129,r_31_1136,r_31_1154,r_31_1178,r_31_1199,r_31_1500,r_31_1510,r_31_1690,r_31_1900,r_31_1920,r_31_1990,r_31_3650,r_31_3661,r_31_5100,r_31_5120,r_31_5130,r_31_5140,r_31_5200,r_31_5210,r_31_5900,r_31_6300,r_32_1100,r_32_1110,r_32_1111,r_32_1112,r_32_1113,r_32_1114,r_32_1115,r_32_1124,r_32_1125,r_32_1136,r_32_1154,r_32_1164,r_32_1174,r_32_1190,r_32_1199,r_32_1500,r_32_1510,r_32_1540,r_32_1690,r_32_1900,r_32_1910,r_32_1920,r_32_1930,r_32_1940,r_32_1950,r_32_1960,r_32_1965,r_32_1990,r_32_3100,r_32_3155,r_32_3200,r_32_3610,r_32_3650,r_32_3661,r_32_3700,r_32_3709,r_32_3710,r_32_3760,r_32_3800,r_32_3900,r_32_3990,r_32_5100,r_32_5110,r_32_5120,r_32_5130,r_32_5140,r_32_5200,r_32_5210,r_32_5300,r_32_5400,r_32_5500,r_32_5600,r_32_5900,r_32_6300,r_32_6400,r_40_1500,r_40_1510,r_40_5200,r_49_1500,r_49_1510,r_49_1610,r_49_1620,r_49_1690,r_49_1900,r_49_1920,r_49_1990,r_49_3010,r_49_3200,r_49_3400,r_49_3769,r_49_3770,r_49_3800,r_49_3900,r_49_3990,r_49_5200,r_49_5210,r_49_5300,r_49_5900,r_50_1310,r_50_1500,r_50_1510,r_50_1690,r_50_1910,r_50_1920,r_50_1990,r_50_3700,r_50_3900,r_50_5200,r_51_1500,r_51_1510,r_51_1610,r_51_1620,r_51_1690,r_51_1900,r_51_1920,r_51_1990,r_51_3721,r_51_3769,r_51_3770,r_51_3800,r_51_5200,r_51_5300,r_51_5900,r_60_1510,r_60_1900,r_60_1970,r_60_1990,r_60_5200,r_60_5210,r_70_1200,r_70_1320,r_70_1500,r_70_1510,r_70_1800,r_70_1900,r_70_1910,r_70_1920,r_70_1990,r_70_3100,r_70_3799,r_70_5200,r_70_5210,r_70_5900,r_71_1500,r_71_1510,r_71_1740,r_71_1800,r_71_1920,r_71_1960,r_71_1990,r_71_3200,r_71_3410,r_71_3415,r_71_3423,r_71_3560,r_71_3800,r_71_5000,r_71_5200,r_76_1200,r_76_1500,r_76_1510,r_76_1900,r_76_1920,r_76_1960,r_76_1990,r_76_5200
Davis District,Valley View School,2018.0,,,,,,,,,,,,,,,,,,,,3500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32764.35,,,,,,,,6144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.72,,,,,,,,,,,,,,,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,27354.35,,,,,,,,,,,1060.0,,,,,315.51,,21622.37,,,,,,,,,,,,,,,,,1593.57,,203.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3079.2,832.7,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Valley View School,2019.0,,,,,,,,,,,,,,,,,,,,5883.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12565.32,,,,,,,,9840.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500.0,,,,,,,,,,,,,,,,,,240.53,,,,,,,,,,,,,,,,,,,,,,,11987.32,,,,,,,,,,,1480.0,,,,,670.06,,31207.45,,,,,,,,,,,,,,,,,478.95,,214.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1801.66,836.6,37.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Valley View School,2020.0,,,,,,,,,,,,,,,,,,,,3878.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910.0,,,,,,,,3982.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2724.0,,,,,349.23,,14787.29,,,,,,,,,,,,,,,,,668.0,,315.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1531.25,451.0,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Valley View School,2021.0,,,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200.0,3699.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700.0,,,,,,,,,,,3378.0,,,,,456.8,,21867.74,,,,,,,,,,,,,,,,,125.0,,4305.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Viewmont High,2018.0,,,,,,,,,,,,,,,,,,,,53858.33,,,,,,,,,,,,,,,,,,,122326.08,,,,,,,,,,,,,,560.0,,5277.5,28438.5,,,,,,,,141618.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0,,,,,,,,,,,,,,,,,,,,,,,17711.5,,,,,,,,,,,16820.0,,,,,6000.09,32799.42,1428000.0,,,,,,,,,,,,,,,,,-12849.3,,100356.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5672.62,1352.25,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Viewmont High,2019.0,,,,,,,,,,,,,,,,,,,,22398.5,,,,,,,,,,,,,,,,,,,92456.95,,,,,,,,,,,,,,1440.0,,63692.5,34859.04,,,,,,,,126909.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27355.0,,,,,,,,,,,24160.0,,,,,5665.15,35385.8,1301790.2,,,,,,,,,,,,,,,,,35998.05,,121387.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6148.25,2000.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Viewmont High,2020.0,,,,,,,,,,,,,,,,,,,,24751.0,,,,,,,,,,,,,,,,,,,81246.76000000001,,,,,,,,,,,,,,640.0,,21588.53,14382.0,,,,,,,,87428.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2810.0,,,,,,,,,,,35445.0,,,,,7730.23,20046.53,1054023.34,,,,,,,,,,,,,,,,,24652.32,,94932.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2192.05,1650.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Viewmont High,2021.0,,,,,,,,,,,,,,,,,,,,15599.0,,,,,,,,,,,,,,,,,,,100864.7,,,,,,,,,,,,,,,,31332.1,28678.5,,,,,,,,107451.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16704.0,,,,,,,,,,,27549.0,,,,44123.0,10330.54,14040.99,440485.71,,,,,,,,,,,,,,,,,349502.76,,89409.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.7,1957.95,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Wasatch School,2018.0,,,,,,,,,,,,,,,,,,,,8700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113241.28,,,,,,,,14833.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4078.12,,,,,,,,,,,2880.0,,,,,,,284.76,,,,,,,,,,,,,,,,,,,28818.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5792.2,2917.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Wasatch School,2019.0,,,,,,,,,,,,,,,,,,,,8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130569.03,,,,,,,,7116.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1218.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7100.0,,,,,,,,,,,5650.0,,,,,,,487.98,,,,,,,,,,,,,,,,,,,26082.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6653.58,2438.35,-19.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Wasatch School,2020.0,,,,,,,,,,,,,,,,,,,,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201120.65,,,,,,,,13210.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1193.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000.0,,,,,,,,,,,6826.0,,,,,,,772.77,,,,,,,,,,,,,,,,,,,16587.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5813.9,1906.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Wasatch School,2021.0,,,,,,,,,,,,,,,,,,,,4900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126928.37,,,,,,,,28672.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4355.85,,,,,,,,,,,3651.0,,,,,,,337.88,,,,,,,,,,,,,,,,,,,14676.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.25,1144.5,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Washington School,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.0,39361.42,,,,,,,,2304.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10600.0,,,,,,,,,,,1550.0,,,,,604.26,,24940.25,,,,,,,,,,,,,,,,,650.0,,279.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4348.72,1174.5,-50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,Washington School,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30836.84,,,,,,,,4596.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,3200.0,,,,,130.0,,10569.68,,,,,,,,,,,,,,,,,250.0,,128.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4737.06,1282.4,131.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,West Bountiful School,2018.0,,,,,,,,,,,,,,,,,,,,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.0,1424.0,,,,,,,,4244.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350.0,,,,,625.0,90.0,2962.29,,,,,,,,,,,,,,,,,2051.3,,32783.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3343.45,2771.05,15.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,West Bountiful School,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648.0,,,,,,,,5264.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1245.0,,,,,,,,,,,,,,,,,,143.37,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,2760.0,,,,,515.0,,4123.28,,,,,,,,,,,,,,,,,1137.5,,28726.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3961.4,3465.43,-84.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,West Bountiful School,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640.0,,,,,,,,1677.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,4968.0,,,,,418.0,,4378.83,,,,,,,,,,,,,,,,,1295.99,,13140.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1064.3,2541.45,-2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,West Bountiful School,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1613.0,,,,,,,,1039.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020.0,,,,,,,,,,,5066.0,,,,,525.0,,603.0,,,,,,,,,,,,,,,,,8721.03,,24521.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8,1843.77,40.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis District,West Clinton School,2018.0,,,,,,,,,,,,,,,,,,,,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.0,4233.0,,,,,,,,236.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.0,,,,,,,,,,,1080.0,,,,,3495.74,306.0,23163.59,,,,,,,,,,,,,,,,,5305.0,,164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9236.14,1122.1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
